"Title","Description","Priority","Estimate","Status","Labels"
"Provision the Neon project, branches, and roles for SGAuth","**Ticket:** AUTH-T01  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** none

Create the production Neon project that SGAuth is built on. **SGAuth is built on Neon serverless Postgres and MUST NOT use Supabase in any form** (no Supabase Auth, no Supabase Postgres, no Supabase client libraries).

Set up:
- Project `sgauth` in the SGAOperations Neon org, region closest to Vercel's default (us-east-1 / iad1).
- Branches: `main` (production), `dev` (shared non-production deployment), `test` (CI integration tests). Preview branches are created automatically later (AUTH-T05).
- A least-privilege application role for runtime queries and a separate migration role for `prisma migrate deploy`.
- Record the pooled connection string (host contains `-pooler`) as `DATABASE_URL` and the direct string as `DIRECT_URL` in a secrets store (Vercel env + the team password manager). Use `sslmode=verify-full`.
- Enable point-in-time restore on `main` (Neon history retention) and note the restore procedure.

**Plan decision (red-team, accepted risk):** SGAuth launches on the Neon **Free** plan with scale-to-zero. Free suspends the compute for the rest of the month once 100 CU-hours are used, which would take every SGA product's login down; history/restore window is only 6 hours. AUTH-T101 adds quota monitoring and the upgrade runbook (Launch plan, pay-as-you-go at $0.106/CU-hour). Keep the SDK's 60-second cache so idle periods let the compute suspend.

Reference: Neon Prisma guide (pooled vs direct URLs), Neon free plan limits (10 branches/project, 100 CU-hours/project/month, 0.5 GB storage per project, 6-hour history).

**Acceptance criteria**
- [ ] Neon project exists with `main`, `dev`, and `test` branches; history retention set to the Free maximum on `main`.
- [ ] Two roles exist: runtime (no DDL) and migration (DDL); credentials stored in the team secrets store, not in git.
- [ ] `DATABASE_URL` (pooled) and `DIRECT_URL` (direct) connection strings are documented in `.env.example` with placeholder values and `sslmode=verify-full`.
- [ ] A short section in README states the Neon mandate and that Supabase is not used anywhere in SGAuth.","Urgent","2","Backlog","epic:foundation, phase:0, infra, neon"
"Remove Supabase from the auth repo (in-place migration to Neon)","**Ticket:** AUTH-T02  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** none

The current repo scaffolds Supabase auth and DB. Strip it entirely so the codebase reflects the Neon mandate.

Remove:
- Dependencies: `@supabase/ssr`, `@supabase/supabase-js`, `supabase` (CLI).
- `supabase/` directory (config.toml), `src/app/auth/callback/route.ts` (Supabase OTP callback), Supabase env vars from `.env.example`, and the Supabase steps in README.
- The `supabaseUserId` column and any Supabase-shaped assumptions in `prisma/schema.prisma` and `prisma/seed.ts` (the schema is replaced in AUTH-T10; this ticket only removes Supabase references so the repo builds).

Also triage open branches that build on Supabase (AUTH-7, AUTH-8, auth-9, auth-10, auth-11, AUTH-14): close them with a comment pointing at this design, or cherry-pick any UI-only work that is still useful. Do not merge Supabase code.

**Acceptance criteria**
- [ ] `grep -ri supabase` across the repo (excluding the design doc folder) returns nothing.
- [ ] `npm ci && npm run build && npm run lint && npm run format:check` pass with Supabase removed.
- [ ] README setup section no longer mentions Docker or `supabase start`; it points at Neon branches (final wording lands in AUTH-T08).
- [ ] Each open Supabase-based branch has a closing comment or a note in the PR explaining what was salvaged.","Urgent","3","Backlog","epic:foundation, phase:0, neon, chore"
"Install Better Auth 1.7 with the Prisma adapter and mount the handler","**Ticket:** AUTH-T03  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T02 (Remove Supabase from the auth repo (in-place migration to Neon)); AUTH-T04 (Configure Prisma 7 for Neon (pooled runtime, direct migrations))

Add self-managed Better Auth (latest 1.7.x) and `@better-auth/prisma-adapter` on Neon, mirroring the pattern Aplio already uses.

- `src/lib/auth/config.ts`: `betterAuth({ database: prismaAdapter(prisma, { provider: 'postgresql' }), baseURL, secret, trustedOrigins, advanced: { database: { generateId: false } }, plugins: [nextCookies()] })`. Prisma generates `uuid(7)` ids.
- `src/app/api/auth/[...all]/route.ts` mounting `toNextJsHandler(auth)`.
- `baseURL` = `https://auth.northeasternsga.com` in production, `https://auth-dev.northeasternsga.com` on the dev deployment, and a local dev hostname (AUTH-T34) locally. Never derive it from `VERCEL_URL` for cookies (the cookie domain must be the parent domain).
- `trustedOrigins` is temporarily a static list; AUTH-T56 replaces it with the product registry.
- Add `server-only` guards and the `auth.api` typed server helper.

Plugins (jwt, admin, twoFactor, customSession) are added in their own tickets.

**Acceptance criteria**
- [ ] `GET /api/auth/ok` (or equivalent Better Auth health route) returns 200 on the dev deployment.
- [ ] Better Auth's initialization-time schema validation passes against the Prisma client (1.7 rejects requests on mismatch).
- [ ] `BETTER_AUTH_SECRET` is required (32+ chars) and the app refuses to start without it.
- [ ] Unit test confirms `baseURL` resolution per environment and that `VERCEL_URL` is never used for the production cookie domain.","Urgent","3","Backlog","epic:foundation, phase:0, backend, better-auth"
"Configure Prisma 7 for Neon (pooled runtime, direct migrations)","**Ticket:** AUTH-T04  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T01 (Provision the Neon project, branches, and roles for SGAuth)

Wire Prisma 7 to Neon following Neon's Prisma guide.

- `prisma.config.ts`: `datasource.url = env('DIRECT_URL')` (used by the CLI for migrations). No `url` in the schema datasource block (Prisma 7 rule).
- Runtime client (`src/lib/prisma.ts`): driver adapter with the **pooled** `DATABASE_URL`. Use `@prisma/adapter-pg` with a `pg.Pool` sized for Vercel functions (`max: 5`, `idleTimeoutMillis: 10_000`), or `@prisma/adapter-neon` if WebSocket transport is preferred; document the choice.
- Global singleton in dev to avoid pool exhaustion on HMR.
- Add `?sslmode=verify-full`. Verify whether `pgbouncer=true` is needed with Neon's pooler when using a driver adapter and document the result.

**Acceptance criteria**
- [ ] `npx prisma migrate deploy` runs against `DIRECT_URL`; runtime queries use the `-pooler` host (verified via Neon monitoring or `pg_stat_activity`).
- [ ] Cold start on Vercel executes a `SELECT 1` through the pooled connection in under 300 ms p50 (measured on the dev deployment).
- [ ] README documents why two URLs exist and which commands use which.","High","2","Backlog","epic:foundation, phase:0, backend, neon, prisma"
"Create the Vercel project, custom domains, environments, and Neon preview branching","**Ticket:** AUTH-T05  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T01 (Provision the Neon project, branches, and roles for SGAuth); AUTH-T03 (Install Better Auth 1.7 with the Prisma adapter and mount the handler)

Host SGAuth on Vercel (Node runtime, not Edge, because of Prisma).

- Vercel project `sgauth` linked to the repo; production branch `main` → `auth.northeasternsga.com`; a protected `dev` branch → `auth-dev.northeasternsga.com` (see AUTH-T34 for why a dev SGAuth deployment on the real parent domain is required for product previews).
- Install the Neon–Vercel integration so each preview deployment gets its own Neon branch (from `dev`) and `DATABASE_URL`/`DIRECT_URL` injected; enable automatic deletion of preview branches when the deployment is deleted (free plan allows 10 branches).
- Environment variables scoped per environment (production / preview / development). Secrets never shared across environments; `BETTER_AUTH_SECRET` differs per environment.
- Build command runs `prisma generate` and `prisma migrate deploy` (AUTH-T16) before `next build`.
- Deployment protection: previews password- or SSO-protected via Vercel; production public.
- **No Vercel cron jobs.** Vercel Hobby allows two jobs at once-per-day granularity and rejects more frequent schedules at deploy time; all scheduled work runs from GitHub Actions (AUTH-T38). Do not add a `crons` section to `vercel.json`.
- SGAuth's own `*.vercel.app` preview deployments cannot set a `northeasternsga.com` cookie; they run with `SGAUTH_ENV=preview` (host-only cookie, AUTH-T26) so previews are testable in isolation.

**Acceptance criteria**
- [ ] `https://auth.northeasternsga.com` and `https://auth-dev.northeasternsga.com` serve the app over TLS with valid certificates.
- [ ] Opening a PR creates a Neon preview branch and a preview deployment that runs migrations against it; closing the PR deletes the branch.
- [ ] Vercel env vars are documented in `docs/ENVIRONMENTS.md` with which environment each applies to.","High","3","Backlog","epic:foundation, phase:0, infra, vercel, neon"
"Update CI: typecheck, lint, format, migrations check, and tests on a Neon test branch","**Ticket:** AUTH-T06  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T03 (Install Better Auth 1.7 with the Prisma adapter and mount the handler); AUTH-T93 (Test harness: vitest, Neon test branch, factories, and test mailer)

Extend `.github/workflows/ci.yml` for the new stack.

Jobs: typecheck, lint, format:check (existing), plus:
- `migrations`: `prisma migrate diff` to ensure schema and migrations are in sync and no drift; fails if a migration is missing.
- `test`: vitest unit + integration tests against the Neon `test` branch (AUTH-T93). Use a Neon API key stored as a GitHub secret to reset the branch (`neonctl branches reset`) before the run so tests start clean. Serialize runs with a GitHub Actions `concurrency` group (`neon-test-branch`) so parallel PRs do not share the branch mid-run; per-run branches are avoided because of the 10-branch cap.
- Cache npm and Prisma engines.
- Required checks + branch protection on `main` and `dev` (PR required, at least one review, CI green).

**Acceptance criteria**
- [ ] CI runs on every PR and push to `main`/`dev`, all jobs green on a clean checkout.
- [ ] A PR that changes `schema.prisma` without a migration fails the `migrations` job with a clear message.
- [ ] Branch protection rules are enabled and documented in CONTRIBUTING.md.","High","3","Backlog","epic:foundation, phase:0, ci, chore"
"Validate environment variables at startup with zod","**Ticket:** AUTH-T07  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T02 (Remove Supabase from the auth repo (in-place migration to Neon))

Add `src/lib/env.ts` that parses `process.env` with zod (server and public schemas separated) and fails fast with a readable error listing missing/invalid vars. Rewrite `.env.example` to the final variable list: `DATABASE_URL`, `DIRECT_URL`, `BETTER_AUTH_SECRET`, `BETTER_AUTH_URL`, `SGAUTH_COOKIE_DOMAIN`, `SGAUTH_COOKIE_PREFIX`, `SGAUTH_ENV` (production|dev|preview|local), `RESEND_API_KEY`, `RESEND_FROM_EMAIL`, `UPSTASH_REDIS_REST_URL`, `UPSTASH_REDIS_REST_TOKEN`, `POSTHOG_KEY`, `POSTHOG_HOST`, `CRON_SECRET`, `NEON_API_KEY` (CI only).

**Acceptance criteria**
- [ ] Starting the app with a missing required var prints the variable name and exits non-zero.
- [ ] `.env.example` lists every variable with a one-line purpose comment and no real values.
- [ ] No code reads `process.env` directly outside `src/lib/env.ts` (enforced by an ESLint `no-restricted-syntax` rule).","Medium","1","Backlog","epic:foundation, phase:0, backend, chore"
"Rewrite README and developer bootstrap for Neon branches","**Ticket:** AUTH-T08  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T10 (Core schema: User plus Better Auth Session, Account, and Verification tables); AUTH-T44 (Seed the curated SGA position list)

Replace the Docker/Supabase setup with: create a personal Neon branch from `dev` (`neonctl branches create --parent dev --name <github-handle>`), copy its URLs into `.env`, run `npx prisma migrate dev`, run `npm run seed` (curated positions + a local Primary Admin from `SEED_PRIMARY_ADMIN_EMAIL`), then `npm run dev`. Include the local SSO hostname setup from AUTH-T34 and the scripts table.

**Acceptance criteria**
- [ ] A new contributor can go from clone to logged-in local Primary Admin in under 15 minutes following only the README.
- [ ] The seed is idempotent (re-running changes nothing) and refuses to run when `SGAUTH_ENV=production`.","Medium","2","Backlog","epic:foundation, phase:0, docs, chore"
"Automate Neon branch hygiene to stay under plan limits","**Ticket:** AUTH-T09  
**Epic:** E1 Foundation & Neon Migration  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T05 (Create the Vercel project, custom domains, environments, and Neon preview branching)

The free plan allows 10 branches per project. Add a scheduled GitHub Action (daily) that lists branches via the Neon API and deletes preview branches whose PR is closed/merged or that are older than 7 days, excluding `main`, `dev`, `test`, and branches matching `dev-*` (personal). Post a summary to the workflow log.

**Acceptance criteria**
- [ ] The action runs daily, is idempotent, and never deletes protected branches (unit test on the filter).
- [ ] Branch count stays below 8 in steady state; a warning is logged at 8 or more.","Medium","2","Backlog","epic:foundation, phase:0, infra, neon"
"Core schema: User plus Better Auth Session, Account, and Verification tables","**Ticket:** AUTH-T10  
**Epic:** E2 Data Model & Migrations  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T03 (Install Better Auth 1.7 with the Prisma adapter and mount the handler); AUTH-T04 (Configure Prisma 7 for Neon (pooled runtime, direct migrations))

Define the identity model in `prisma/schema.prisma` (Neon). Better Auth core tables plus SGAuth fields:

**User**: `id` (uuid v7, PK), `email` (unique, stored lower-cased; use `citext` or a lower-case check), `emailVerified`, `name` (required display name), `preferredName` (optional), `isAdmin` (bool), `isPrimaryAdmin` (bool), `status` (enum ACTIVE | DEACTIVATED | DELETED — DELETED is a tombstone: the row and id survive with PII scrubbed so product foreign keys stay valid), `deactivatedAt`, `deletedAt`, `legacyEmail` (bool; true for imported accounts whose address is not northeastern.edu), `lastLoginAt`, `passwordChangedAt`, `twoFactorEnabled` (plugin), `createdAt`, `updatedAt`.
**Session**: Better Auth fields (`id`, `token` unique, `userId`, `expiresAt`, `ipAddress`, `userAgent`, `createdAt`, `updatedAt`) plus `absoluteExpiresAt` (createdAt + 90 days) and `lastReauthAt`. The Better Auth admin plugin is **not** used (custom authz instead), so no `impersonatedBy`/ban columns.
**KnownDevice**: `id`, `userId`, `tokenHash`, `createdAt`, `lastSeenAt`, `userAgent` — backs the lockout exemption (AUTH-T64).
**Account**: Better Auth fields; `password` holds either a scrypt hash or an imported `bcrypt$...` hash (AUTH-T21). **Verification**: Better Auth fields.

No NUID, phone, pronouns, or photo. Products keep extra fields keyed by SGAuth user id. Write the initial migration and a Prisma-level test that the Better Auth adapter validates against this schema.

**Acceptance criteria**
- [ ] Migration applies cleanly on an empty Neon branch and Better Auth schema validation passes at startup.
- [ ] Email uniqueness is case-insensitive (`Alice@Northeastern.edu` and `alice@northeastern.edu` collide) with a test.
- [ ] `isPrimaryAdmin = true` implies `isAdmin = true` via a CHECK constraint.
- [ ] Indexes exist on `Session.userId`, `Session.expiresAt`, `Account.userId`, `Verification.identifier`.","High","3","Backlog","epic:data-model, phase:0, backend, prisma"
